Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test
1	96.9446887	58.53641682071611	0.5692816840277778	0.9017857142857142
11	556.2455585	15.32063076767372	0.7794596354166667	0.8809523809523809
1	123.42924790000001	58.53641682071611	0.5692816840277778	0.9017857142857142
2	187.5917125	19.53932738583535	0.5919596354166666	0.8869047619047619
12	683.2748939	14.936283388873562	0.775390625	0.9047619047619048
2	249.9595021	19.53932738583535	0.5919596354166666	0.8869047619047619
3	273.0364361	18.565735352691263	0.7420247395833333	0.8869047619047619
1	141.2458446	58.53641682071611	0.5692816840277778	0.9017857142857142
13	794.0150599	14.700586032267893	0.7880316840277778	0.880952380952381
4	369.3927531	17.195203007082455	0.7653537326388888	0.9166666666666666
3	360.0831387	18.565735352691263	0.7420247395833333	0.8869047619047619
5	457.3955862	16.6737055266276	0.7923719618055556	0.9166666666666667
2	405.2942096	19.53932738583535	0.5919596354166666	0.8869047619047619
14	934.8431176	14.371605316642672	0.7881401909722223	0.8392857142857143
4	502.23738410000004	17.195203007082455	0.7653537326388888	0.9166666666666666
6	546.3355747999999	16.4978557350114	0.77978515625	0.9077380952380952
3	552.6387237	18.565735352691263	0.7420247395833333	0.8869047619047619
7	633.5554016	16.300879511982203	0.7926432291666667	0.9136904761904762
15	1080.6850471	14.545427328441292	0.788302951388889	0.8422619047619048
5	647.7447597	16.6737055266276	0.7923719618055556	0.9166666666666667
8	722.1858333	15.771503309020773	0.7775607638888888	0.9285714285714286
4	699.9215361	17.195203007082455	0.7653537326388888	0.9166666666666666
16	1229.3495020999999	14.194586464203894	0.7874891493055556	0.7916666666666667
6	796.5665697000001	16.4978557350114	0.77978515625	0.9077380952380952
9	810.6239767	15.687860771780834	0.7800021701388888	0.9166666666666667
10	898.4385259999999	15.404746412299573	0.7854817708333333	0.9255952380952381
5	853.0915441000001	16.6737055266276	0.7923719618055556	0.9166666666666667
17	1382.1781459	14.023911670705274	0.7986111111111112	0.8571428571428571
7	947.8693698000001	16.300879511982203	0.7926432291666667	0.9136904761904762
